Ticker,NCTId,StudyFirstSubmitQCDate,CompletionDate,BuyPrice,SellPrice,PercentDiff
TXG,NCT04789252,"March 4, 2021","February 9, 2026",141.09,151.58,1.79
TXG,NCT05677724,"December 22, 2022","June 30, 2023",31.68,36.44,3.49
TXG,NCT04904692,"May 26, 2021","September 30, 2024",169.39,180.00,1.52
TXG,NCT04622423,"November 4, 2020","June 30, 2026",141.80,147.70,1.02
TXG,NCT05348161,"April 20, 2022","January 1, 2025",61.58,53.90,-3.33
TXG,NCT04200768,"December 13, 2019","October 31, 2024",79.54,74.45,-1.65
TXG,NCT04305665,"March 11, 2020","December 31, 2025",60.76,57.36,-1.44
TXG,NCT06016114,"August 23, 2023","October 1, 2028",47.73,47.89,0.08
TXG,NCT05783388,"March 13, 2023",February 2030,47.79,48.76,0.50
ATNF,NCT05299242,"March 17, 2022","June 12, 2023",57.20,58.40,0.52
ATNF,NCT03354208,"November 21, 2017","December 27, 2017",193.60,193.80,0.03
ATNF,NCT04932850,"June 17, 2021","October 20, 2021",200.60,205.20,0.57
ATNF,NCT05844644,"April 25, 2023",July 2024,1.07,1.15,1.80
ATNF,NCT03886935,"March 20, 2019","January 1, 2019",207.00,207.00,0.00
ATNF,NCT04413786,"May 28, 2020","December 26, 2021",215.20,215.20,0.00
ATNF,NCT05844631,"April 25, 2023","December 23, 2023",1.07,1.15,1.80
ATNF,NCT05961098,"July 25, 2023","March 15, 2026",0.91,0.92,0.14
ATNF,NCT04182126,"November 26, 2019","March 31, 2024",210.50,210.60,0.01
ATNF,NCT03865381,"March 5, 2019","October 15, 2020",205.48,206.40,0.11
ATNF,NCT04955626,"June 29, 2021","May 25, 2023",200.00,206.80,0.84
ATNF,NCT03877809,"March 14, 2019","April 30, 2022",207.00,207.00,0.00
ATNF,NCT04386941,"May 12, 2020","July 31, 2024",215.20,215.20,0.00
ATNF,NCT04247750,"January 27, 2020","April 30, 2022",214.40,214.40,0.00
ATNF,NCT03927313,"April 23, 2019","March 31, 2021",206.80,206.80,0.00
ATNF,NCT04104568,"September 23, 2019",December 2023,210.48,210.14,-0.04
ATNF,NCT05174117,"December 29, 2021","June 30, 2023",74.40,78.00,1.18
ATNF,NCT04373330,"April 29, 2020",June 2024,215.20,215.20,0.00
ATNF,NCT03908242,"April 8, 2019","May 30, 2019",208.00,208.00,0.00
ATNF,NCT05984381,"August 2, 2023","December 1, 2024",0.91,0.81,-2.91
ATNF,NCT06065540,"September 26, 2023","January 14, 2026",0.59,0.61,0.96
ATNF,NCT05394519,"May 24, 2022","January 29, 2025",25.00,27.40,2.29
ATNF,NCT04381260,"May 5, 2020",April 2024,215.20,215.20,0.00
ATNF,NCT04154904,"November 5, 2019","January 3, 2022",211.00,211.20,0.02
ATNF,NCT04759144,"February 13, 2021","December 1, 2022",94.00,88.60,-1.48
ATNF,NCT03660085,"September 4, 2018","May 18, 2022",201.20,201.20,0.00
ATNF,NCT05476081,"July 24, 2022","May 3, 2023",23.00,22.00,-1.11
ATNF,NCT05554861,"September 22, 2022","November 13, 2023",13.62,13.98,0.65
ATNF,NCT03784027,"December 20, 2018","October 3, 2022",203.60,204.00,0.05
ATNF,NCT03321526,"October 23, 2017","June 27, 2019",194.00,194.20,0.03
ATNF,NCT03935269,"April 30, 2019",September 2024,206.88,206.88,0.00
ATNF,NCT04923438,"June 6, 2021","June 26, 2021",211.20,204.00,-0.87
ATNF,NCT05911490,"June 9, 2023","September 29, 2020",1.14,1.17,0.65
ATNF,NCT05204641,"January 10, 2022","December 31, 2024",58.20,59.80,0.68
ATNF,NCT04632810,"November 12, 2020",April 2025,45.00,45.20,0.11
ATNF,NCT03791125,"December 28, 2018","May 20, 2019",204.00,203.46,-0.07
ATNF,NCT03779724,"December 16, 2018","July 29, 2016",203.34,203.00,-0.04
ATNF,NCT03342898,"November 10, 2017","May 22, 2019",193.80,193.60,-0.03
ATNF,NCT03455790,"March 5, 2018","January 18, 2018",196.80,196.80,0.00
ATNF,NCT03431324,"February 7, 2018","December 31, 2020",195.60,195.60,0.00
ATNF,NCT05175625,"January 3, 2022","June 20, 2022",66.80,65.00,-0.68
ATNF,NCT04756167,"February 11, 2021","May 1, 2021",125.00,90.00,-8.14
ATNF,NCT04964726,"July 6, 2021","December 7, 2022",193.20,197.00,0.49
ATNF,NCT04968691,"July 8, 2021","December 31, 2022",216.20,187.00,-3.62
ATNF,NCT05744492,"February 15, 2023",March 2025,3.01,3.02,0.08
ATNF,NCT03514849,"May 1, 2018",March 2026,198.40,198.40,0.00
ATNF,NCT05567029,"October 3, 2022","April 20, 2023",10.82,10.76,-0.14
ATNF,NCT05437510,"June 24, 2022","March 14, 2025",18.02,19.20,1.59
ATNF,NCT05967260,"July 21, 2023","June 30, 2024",0.66,0.61,-2.01
ATNF,NCT03443596,"February 17, 2018","March 13, 2019",197.00,197.00,0.00
ATNF,NCT05355272,"April 26, 2022",September 2025,32.60,42.40,6.53
ATNF,NCT05586048,"October 16, 2022","November 30, 2025",10.70,9.70,-2.45
ATNF,NCT03801564,"January 10, 2019","March 7, 2020",203.80,204.80,0.12
ATNF,NCT05747560,"February 17, 2023","December 30, 2023",3.01,2.72,-2.53
ATNF,NCT05053152,"September 13, 2021","October 10, 2029",116.20,116.00,-0.04
ATNF,NCT05680597,"January 10, 2023",June 2027,3.48,3.71,1.60
ATNF,NCT04632758,"November 11, 2020","December 1, 2024",62.20,49.00,-5.94
ATNF,NCT03669874,"September 11, 2018",September 2026,201.20,201.20,0.00
ATNF,NCT05590091,"October 18, 2022","March 31, 2024",9.70,9.98,0.71
ATNF,NCT05639231,"November 28, 2022","April 30, 2025",7.16,6.02,-4.32
ATNF,NCT04520724,"August 18, 2020","November 1, 2019",219.40,218.70,-0.08
ATNF,NCT04251715,"January 30, 2020","November 30, 2024",214.40,214.40,0.00
ATNF,NCT05510999,"August 18, 2022","October 26, 2021",17.00,19.14,2.96
ATNF,NCT03605810,"July 23, 2018","December 31, 2018",202.00,202.00,0.00
ATNF,NCT05209438,"January 12, 2022",July 2025,65.00,60.80,-1.67
ATNF,NCT05565482,"September 29, 2022","January 10, 2025",13.40,13.42,0.04
ATNF,NCT05362448,"May 2, 2022","November 1, 2022",21.60,21.00,-0.70
ATNF,NCT05553275,"September 20, 2022","March 6, 2025",13.56,13.82,0.47
ATNF,NCT04078737,"September 3, 2019","July 1, 2021",210.00,210.00,0.00
ATNF,NCT04002427,"June 27, 2019","July 5, 2019",208.90,208.90,0.00
ATNF,NCT04693507,"December 31, 2020","February 6, 2023",50.20,50.60,0.20
TSVT,NCT05169489,"December 11, 2021",August 2025,31.58,28.60,-2.48
TSVT,NCT05105152,"October 25, 2021","January 31, 2039",33.35,30.78,-2.00
FDMT,NCT05248230,"February 10, 2022",January 2027,14.57,14.98,0.69
FDMT,NCT05197270,"January 5, 2022",November 2025,19.81,18.76,-1.36
FDMT,NCT05930561,"June 26, 2023","July 1, 2028",16.70,16.83,0.19
FDMT,NCT05629559,"November 17, 2022","May 31, 2028",20.88,23.26,2.70
SXTP,NCT06207370,"January 4, 2024","July 1, 2025",1.09,1.06,-0.70
SXTP,NCT06118905,"October 31, 2023","April 1, 2028",0.61,0.66,1.93
SXTP,NCT06143670,"November 16, 2023","March 13, 2024",0.63,0.57,-2.87
SXTP,NCT06232434,"January 22, 2024",December 2024,0.52,0.28,-14.87
SXTP,NCT05926570,"June 29, 2023","January 22, 2024",1.66,1.81,2.16
SXTP,NCT06066541,"September 27, 2023","December 31, 2023",0.78,0.74,-1.32
SXTP,NCT05939024,"July 6, 2023","July 31, 2023",4.68,3.82,-5.06
SXTP,NCT05981963,"August 1, 2023","October 22, 2023",2.13,1.86,-3.38
SXTP,NCT06145373,"November 17, 2023","February 3, 2028",0.63,0.57,-2.87
SXTP,NCT06140394,"November 16, 2023","June 29, 2024",0.63,0.57,-2.87
SXTP,NCT06180824,"December 21, 2023","December 31, 2024",1.18,1.02,-3.64
SXTP,NCT06171243,"December 13, 2023","December 30, 2025",0.67,0.70,1.02
SXTP,NCT06143267,"November 15, 2023","August 1, 2024",0.77,0.69,-2.49
SXTP,NCT06267326,"February 16, 2024","August 21, 2023",0.31,0.29,-1.32
SXTP,NCT05975944,"July 27, 2023",May 2024,2.24,2.13,-1.26
SXTP,NCT06007430,"August 22, 2023","November 1, 2023",1.40,1.46,1.05
SXTP,NCT06200337,"December 27, 2023","April 6, 2023",1.18,1.02,-3.64
SXTP,NCT06164379,"December 2, 2023","December 16, 2024",0.70,0.65,-1.67
SXTP,NCT06252831,"February 1, 2024","October 14, 2023",0.31,0.28,-2.64
SXTP,NCT05996874,"August 10, 2023","May 24, 2024",1.66,1.81,2.16
SXTP,NCT05903976,"June 12, 2023","October 30, 2025",1.70,1.55,-2.31
SXTP,NCT06204796,"January 3, 2024","September 1, 2023",1.04,1.11,1.63
SXTP,NCT06192329,"December 20, 2023","May 1, 2025",1.17,0.90,-6.47
SXTP,NCT06106672,"October 24, 2023",August 2026,0.66,0.65,-0.38
SXTP,NCT06204224,"January 3, 2024","May 30, 2019",1.04,1.11,1.63
SXTP,NCT05905770,"June 14, 2023",November 2025,4.68,3.82,-5.06
SXTP,NCT06059664,"September 25, 2023",December 2025,0.73,0.72,-0.34
SXTP,NCT05890235,"June 1, 2023","July 10, 2022",3.07,3.30,1.81
