Ticker,NCTId,ResultsFirstPostDate,CompletionDate,BuyPrice,SellPrice,PercentDiff
ATNF,NCT01571284,"February 27, 2018","January 31, 2017",3743.00,3743.00,0.00
ATNF,NCT02835495,"September 24, 2020","August 30, 2019",4210.40,4166.70,-0.26
ATNF,NCT04154904,"July 12, 2023","January 3, 2022",20.33,19.76,-0.71
ATNF,NCT02451137,"May 1, 2019","August 9, 2018",3930.72,3930.72,0.00
ATNF,NCT03321526,"August 16, 2022","June 27, 2019",391.40,361.00,-2.02
ATNF,NCT01904032,"March 31, 2022","August 31, 2018",953.80,870.20,-2.29
ATNF,NCT03779724,"July 24, 2019","July 29, 2016",3974.80,3982.40,0.05
ATNF,NCT03342898,"October 8, 2020","May 22, 2019",4161.00,4142.00,-0.11
ATNF,NCT00957359,"October 3, 2019","September 6, 2018",3997.60,3993.80,-0.02
ATNF,NCT02827500,"October 1, 2019","October 15, 2018",3992.66,3997.60,0.03
ATNF,NCT03079102,"April 25, 2022","June 2, 2020",638.40,524.40,-4.90
ATNF,NCT02094573,"June 21, 2017","February 27, 2020",3689.80,3693.60,0.03
ATNF,NCT02614768,"May 6, 2023",September 2015,20.52,20.33,-0.23
ATNF,NCT02411084,"January 30, 2020","July 31, 2017",4073.60,4073.60,0.00
ATNF,NCT02311478,"July 30, 2019",February 2017,3997.60,3997.60,0.00
ATNF,NCT02585934,"December 5, 2018",September 2017,3868.40,3876.00,0.05
SXTP,NCT04290624,"November 18, 2023","February 24, 2022",0.63,0.57,-2.87
SXTP,NCT04907032,"July 20, 2023","April 15, 2023",2.35,2.23,-1.31
SXTP,NCT03686423,"May 17, 2023","June 30, 2022",4.68,3.82,-5.06
SXTP,NCT04453202,"October 3, 2023","April 9, 2021",0.72,0.71,-0.42
SXTP,NCT03074734,"July 3, 2023",May 2019,1.38,1.49,1.88
SXTP,NCT03439839,"January 3, 2024","February 28, 2022",1.04,1.11,1.63
SXTP,NCT01326312,"June 22, 2023",December 2012,1.70,1.55,-2.31
SXTP,NCT04514510,"June 27, 2023","July 7, 2022",4.68,3.82,-5.06
SXTP,NCT04464265,"September 21, 2023","August 5, 2022",0.67,0.78,3.79
SXTP,NCT04485130,"September 13, 2023","February 28, 2022",1.20,1.11,-1.95
SXTP,NCT04851873,"January 5, 2024","June 13, 2023",1.00,0.73,-7.58
SXTP,NCT01002872,"September 21, 2023",December 2012,0.67,0.78,3.79
SXTP,NCT02907359,"May 18, 2023","November 30, 2020",4.68,3.82,-5.06
SXTP,NCT03149757,"July 3, 2023","May 31, 2022",1.38,1.49,1.88
SXTP,NCT01524705,"December 29, 2023",July 2014,1.03,1.09,1.42
SXTP,NCT02389465,"October 2, 2023","July 18, 2022",0.83,0.74,-2.74
SXTP,NCT04678557,"October 18, 2023","November 19, 2021",0.76,0.74,-0.50
SXTP,NCT05099640,"January 10, 2024","May 3, 2023",1.06,0.99,-1.83
AADI,NCT03463265,"November 7, 2023","August 26, 2022",4.65,4.59,-0.32
AADI,NCT03439462,"January 2, 2024","August 26, 2022",1.95,1.76,-2.56
AADI,NCT02009332,"June 8, 2021","December 1, 2019",31.35,31.05,-0.24
AADI,NCT03670030,"June 10, 2021","February 26, 2021",29.70,29.40,-0.25
ABCL,NCT04701658,"November 16, 2021","June 22, 2021",14.82,15.80,1.60
ABCL,NCT04411628,"November 9, 2021","August 26, 2020",14.14,15.02,1.51
ABCL,NCT04427501,"March 7, 2022","February 21, 2023",7.46,8.50,3.26
ABCL,NCT04634409,"July 1, 2022","October 18, 2021",10.38,11.49,2.54
ABEO,NCT01263379,"July 10, 2023","March 9, 2022",4.00,3.79,-1.35
ABEO,NCT04088734,"July 25, 2023","March 10, 2022",3.46,3.53,0.50
ACIU,NCT02738450,"September 21, 2021",June 2020,6.69,6.91,0.81
ACAD,NCT01518309,"November 23, 2020","May 2, 2013",53.84,55.86,0.92
ACAD,NCT00550238,"June 24, 2019","May 30, 2018",26.92,27.19,0.25
ACAD,NCT04855240,"May 3, 2023","March 14, 2022",21.20,21.93,0.85
ACAD,NCT04000009,"April 5, 2022","February 22, 2021",27.22,26.00,-1.15
ACAD,NCT03482882,"August 31, 2020","July 24, 2019",44.87,46.42,0.85
ACAD,NCT03968159,"November 17, 2021","May 29, 2020",19.48,19.15,-0.43
ACAD,NCT03325556,"June 21, 2021","October 30, 2019",25.33,24.39,-0.95
ACAD,NCT02970292,"June 17, 2020","June 25, 2019",47.12,52.03,2.48
ACAD,NCT02970305,"December 22, 2020","October 28, 2019",55.59,55.01,-0.26
ACAD,NCT03018340,"November 14, 2019",October 2018,45.07,46.19,0.61
ACAD,NCT04164758,"October 14, 2021","September 25, 2020",17.60,17.98,0.53
ACAD,NCT02992132,"March 28, 2019","February 16, 2018",26.98,27.35,0.34
ACAD,NCT03118947,"March 9, 2020","February 25, 2019",31.65,33.21,1.20
ACAD,NCT02035553,"October 25, 2017","October 27, 2016",34.89,35.04,0.11
ACAD,NCT01174004,"March 26, 2014",November 2012,22.90,22.65,-0.27
