Ticker,NCTId,StartDate,CompletionDate,BuyPrice,SellPrice,PercentDiff
TXG,NCT05780606,"June 30, 2023","July 30, 2024",56.74,52.97,-1.72
TXG,NCT04932343,"June 1, 2021","December 1, 2022",178.93,180.18,0.17
TXG,NCT04789252,"February 9, 2021","February 9, 2026",185.28,196.86,1.52
TXG,NCT05677724,"July 1, 2022","June 30, 2023",49.99,52.59,1.27
TXG,NCT04904692,"March 23, 2020","September 30, 2024",62.80,58.39,-1.82
TXG,NCT04622423,"November 6, 2019","June 30, 2026",54.06,55.72,0.76
TXG,NCT04200768,"September 1, 2020","October 31, 2024",111.38,106.33,-1.16
TXG,NCT04305665,"June 24, 2020","December 31, 2025",87.95,86.25,-0.49
TXG,NCT05783388,June 2023,February 2030,54.98,54.02,-0.44
ATNF,NCT05299242,"July 21, 2022","June 12, 2023",23.00,22.00,-1.11
ATNF,NCT03109886,"July 12, 2017","June 20, 2019",194.20,194.40,0.03
ATNF,NCT04932850,"March 1, 2021","October 20, 2021",85.00,109.40,6.28
ATNF,NCT05325593,"December 2, 2022",May 2026,3.72,3.21,-3.68
ATNF,NCT05844644,"April 20, 2023",July 2024,1.16,1.07,-2.02
ATNF,NCT04413786,"October 14, 2019","December 26, 2021",210.20,210.20,0.00
ATNF,NCT05844631,"April 20, 2023","December 23, 2023",1.16,1.07,-2.02
ATNF,NCT05961098,"August 21, 2023","March 15, 2026",0.56,0.64,3.50
ATNF,NCT04182126,"December 1, 2019","March 31, 2024",210.60,210.60,0.00
ATNF,NCT03865381,"February 8, 2019","October 15, 2020",204.40,205.20,0.10
ATNF,NCT04955626,"July 1, 2021","May 25, 2023",193.20,197.00,0.49
ATNF,NCT03877809,"June 27, 2019","April 30, 2022",208.90,208.90,0.00
ATNF,NCT04386941,"July 31, 2019","July 31, 2024",210.40,210.40,0.00
ATNF,NCT04247750,"April 13, 2021","April 30, 2022",209.20,199.60,-1.17
ATNF,NCT03927313,"June 12, 2019","March 31, 2021",208.40,209.60,0.14
ATNF,NCT03043859,"May 9, 2017","November 15, 2017",194.00,196.00,0.26
ATNF,NCT04104568,"March 5, 2020",December 2023,211.60,211.60,0.00
ATNF,NCT05174117,"January 1, 2022","June 30, 2023",75.40,72.00,-1.15
ATNF,NCT04373330,February 2024,June 2024,0.19,0.19,-0.13
ATNF,NCT03908242,"April 8, 2019","May 30, 2019",208.00,208.00,0.00
ATNF,NCT04499469,"October 3, 2018","June 1, 2021",202.00,201.60,-0.05
ATNF,NCT02835495,"November 15, 2017","August 30, 2019",194.20,193.80,-0.05
ATNF,NCT05984381,"August 1, 2023","December 1, 2024",0.91,0.81,-2.91
ATNF,NCT06065540,"September 27, 2023","January 14, 2026",0.59,0.61,0.96
ATNF,NCT05394519,"February 1, 2023","January 29, 2025",3.27,3.53,1.91
ATNF,NCT04381260,"December 15, 2020",April 2024,49.20,55.40,2.96
ATNF,NCT04154904,"August 11, 2020","January 3, 2022",217.30,218.66,0.16
ATNF,NCT03660085,"December 18, 2019","May 18, 2022",213.88,213.88,0.00
ATNF,NCT02960542,"June 26, 2017","April 4, 2018",194.00,194.20,0.03
ATNF,NCT05476081,"February 3, 2021","May 3, 2023",97.20,103.20,1.50
ATNF,NCT05554861,"September 20, 2022","November 13, 2023",13.56,13.82,0.47
ATNF,NCT03784027,"May 1, 2019","October 3, 2022",206.88,206.88,0.00
ATNF,NCT03321526,"December 12, 2017","June 27, 2019",195.00,195.20,0.03
ATNF,NCT03935269,February 2024,September 2024,0.19,0.19,-0.13
ATNF,NCT04923438,"February 16, 2021","June 26, 2021",125.00,90.00,-8.14
ATNF,NCT05911490,"December 20, 2019","September 29, 2020",213.88,213.88,0.00
ATNF,NCT05204641,"November 1, 2021","December 31, 2024",100.00,81.40,-5.13
ATNF,NCT04632810,"March 22, 2021",April 2025,132.20,131.20,-0.19
ATNF,NCT03791125,"November 20, 2018","May 20, 2019",203.00,202.00,-0.12
ATNF,NCT03342898,"February 28, 2018","May 22, 2019",197.00,197.00,0.00
ATNF,NCT03455790,"November 25, 2017","January 18, 2018",193.80,194.40,0.08
ATNF,NCT03431324,"January 1, 2019","December 31, 2020",203.64,203.40,-0.03
ATNF,NCT05175625,"December 15, 2021","June 20, 2022",81.40,87.40,1.78
ATNF,NCT04756167,"February 1, 2021","May 1, 2021",105.20,120.20,3.33
ATNF,NCT04964726,"May 11, 2021","December 7, 2022",166.40,160.80,-0.86
ATNF,NCT04968691,"August 1, 2021","December 31, 2022",154.00,143.40,-1.78
ATNF,NCT03079102,"August 26, 2017","June 2, 2020",193.80,193.80,0.00
ATNF,NCT05744492,March 2023,March 2025,2.75,2.81,0.54
ATNF,NCT03514849,August 2018,March 2026,202.00,200.40,-0.20
ATNF,NCT05567029,"September 28, 2022","April 20, 2023",13.98,13.30,-1.25
ATNF,NCT05437510,"August 8, 2022","March 14, 2025",22.80,20.60,-2.53
ATNF,NCT05967260,"September 1, 2023","June 30, 2024",0.66,0.61,-2.01
ATNF,NCT05586048,"April 1, 2023","November 30, 2025",1.89,1.43,-6.93
ATNF,NCT03801564,"January 7, 2019","March 7, 2020",203.80,204.80,0.12
ATNF,NCT05747560,"June 20, 2023","December 30, 2023",1.14,1.14,0.00
ATNF,NCT05053152,"December 8, 2021","October 10, 2029",79.00,81.40,0.75
ATNF,NCT04810715,"March 1, 2021","September 1, 2022",85.00,109.40,6.28
ATNF,NCT05680597,"September 19, 2022",June 2027,13.62,13.98,0.65
ATNF,NCT04632758,"June 1, 2019","December 1, 2024",208.40,208.40,0.00
