Ticker,NCTId,StudyFirstPostDate,CompletionDate,BuyPrice,SellPrice,PercentDiff
TXG,NCT05780606,"March 22, 2023","July 30, 2024",48.76,50.23,0.74
TXG,NCT04932343,"June 21, 2021","December 1, 2022",201.40,195.82,-0.70
TXG,NCT04789252,"March 9, 2021","February 9, 2026",151.58,160.02,1.35
TXG,NCT05677724,"January 10, 2023","June 30, 2023",41.94,43.22,0.75
TXG,NCT04904692,"May 27, 2021","September 30, 2024",178.93,180.18,0.17
TXG,NCT04622423,"November 10, 2020","June 30, 2026",136.62,138.55,0.35
TXG,NCT05348161,"April 27, 2022","January 1, 2025",50.79,47.76,-1.54
TXG,NCT04200768,"December 16, 2019","October 31, 2024",76.25,75.56,-0.23
TXG,NCT04305665,"March 12, 2020","December 31, 2025",55.55,58.00,1.08
TXG,NCT06016114,"August 29, 2023","October 1, 2028",51.55,54.05,1.18
ATNF,NCT05299242,"March 28, 2022","June 12, 2023",953.80,870.20,-2.29
ATNF,NCT03354208,"November 27, 2017","December 27, 2017",3682.20,3697.40,0.10
ATNF,NCT04932850,"June 21, 2021","October 20, 2021",4115.40,3800.00,-1.99
ATNF,NCT05325593,"April 13, 2022",May 2026,524.40,497.80,-1.30
ATNF,NCT05844644,"May 6, 2023",July 2024,20.52,20.33,-0.23
ATNF,NCT04413786,"June 4, 2020","December 26, 2021",4117.30,4142.00,0.15
ATNF,NCT05844631,"May 6, 2023","December 23, 2023",20.52,20.33,-0.23
ATNF,NCT05961098,"July 27, 2023","March 15, 2026",17.86,17.29,-0.81
ATNF,NCT04182126,"December 2, 2019","March 31, 2024",4001.40,4009.00,0.05
ATNF,NCT03865381,"March 6, 2019","October 15, 2020",3904.12,3921.60,0.11
ATNF,NCT03877809,"March 18, 2019","April 30, 2022",3944.40,3940.60,-0.02
ATNF,NCT04386941,"May 13, 2020","July 31, 2024",4088.80,4088.80,0.00
ATNF,NCT04247750,"January 30, 2020","April 30, 2022",4073.60,4073.60,0.00
ATNF,NCT03927313,"April 25, 2019","March 31, 2021",3929.20,3930.72,0.01
ATNF,NCT04104568,"September 26, 2019",December 2023,3999.12,3992.66,-0.04
ATNF,NCT05174117,"December 30, 2021","June 30, 2023",1432.60,1368.00,-1.15
ATNF,NCT04373330,"May 4, 2020",December 2024,4088.80,4088.80,0.00
ATNF,NCT03908242,"April 9, 2019","May 30, 2019",3952.00,3952.00,0.00
ATNF,NCT04499469,"August 5, 2020","June 1, 2021",4172.40,4172.40,0.00
ATNF,NCT05984381,"August 9, 2023","December 1, 2024",16.04,13.74,-3.86
ATNF,NCT06065540,"October 4, 2023","January 14, 2026",11.00,11.21,0.47
ATNF,NCT05394519,"May 27, 2022","January 29, 2025",615.60,763.80,5.37
ATNF,NCT04154904,"November 7, 2019","January 3, 2022",4012.80,4012.80,0.00
ATNF,NCT04759144,"February 18, 2021","December 1, 2022",1824.00,1869.60,0.62
ATNF,NCT03660085,"September 6, 2018","May 18, 2022",3822.80,3822.80,0.00
ATNF,NCT05476081,"July 27, 2022","May 3, 2023",418.00,414.20,-0.23
ATNF,NCT05554861,"September 26, 2022","November 13, 2023",254.60,254.98,0.04
ATNF,NCT03784027,"December 21, 2018","October 3, 2022",3868.40,3860.80,-0.05
ATNF,NCT03972085,"June 3, 2019","November 30, 2015",3982.40,3959.60,-0.14
ATNF,NCT03321526,"October 25, 2017","June 27, 2019",3689.80,3689.80,0.00
ATNF,NCT03935269,"May 2, 2019",September 2024,3948.58,3948.58,0.00
ATNF,NCT06211465,"January 18, 2024",April 2023,3.99,4.14,0.93
ATNF,NCT05911490,"June 22, 2023","September 29, 2020",22.04,21.66,-0.43
ATNF,NCT05204641,"January 24, 2022","December 31, 2024",1086.80,1185.60,2.17
ATNF,NCT04632810,"November 17, 2020",April 2025,858.80,980.40,3.31
ATNF,NCT03791125,"January 2, 2019","May 20, 2019",3869.16,3864.60,-0.03
ATNF,NCT03779724,"December 19, 2018","July 29, 2016",3857.00,3868.40,0.07
ATNF,NCT03342898,"November 17, 2017","May 22, 2019",3682.20,3678.40,-0.03
ATNF,NCT03455790,"March 7, 2018","January 18, 2018",3743.00,3737.30,-0.04
ATNF,NCT03431324,"February 13, 2018","December 31, 2020",3716.40,3705.00,-0.08
ATNF,NCT05175625,"January 4, 2022","June 20, 2022",1368.00,1254.00,-2.17
ATNF,NCT04756167,"February 16, 2021","May 1, 2021",2375.00,1710.00,-8.14
ATNF,NCT04968691,"July 20, 2021","December 31, 2022",3382.00,3264.20,-0.89
ATNF,NCT05744492,"February 27, 2023",March 2025,52.82,52.25,-0.27
ATNF,NCT03514849,"May 2, 2018",March 2026,3769.60,3769.60,0.00
ATNF,NCT05567029,"October 5, 2022","April 20, 2023",254.98,228.00,-2.79
ATNF,NCT05437510,"June 29, 2022","March 14, 2025",314.64,330.60,1.24
ATNF,NCT05967260,"August 1, 2023","June 30, 2024",17.29,15.39,-2.91
ATNF,NCT05355272,"May 2, 2022",September 2025,410.40,399.00,-0.70
ATNF,NCT05586048,"October 19, 2022","November 30, 2025",184.30,189.62,0.71
ATNF,NCT03801564,"January 11, 2019","March 7, 2020",3895.00,3883.60,-0.07
ATNF,NCT05747560,"February 28, 2023","December 30, 2023",52.25,53.39,0.54
ATNF,NCT05053152,"September 22, 2021","October 10, 2029",2204.00,2105.20,-1.15
ATNF,NCT04810715,"March 23, 2021","September 1, 2022",1962.70,2644.80,7.40
ATNF,NCT05680597,"January 11, 2023",June 2027,66.12,70.49,1.60
ATNF,NCT04632758,"November 17, 2020","December 1, 2024",858.80,980.40,3.31
ATNF,NCT03730870,"November 5, 2018","February 28, 2020",3838.00,3841.80,0.02
ATNF,NCT03669874,"September 13, 2018",September 2026,3826.60,3815.20,-0.07
ATNF,NCT05639231,"December 6, 2022","April 30, 2025",114.38,102.60,-2.71
ATNF,NCT04520724,"August 20, 2020","November 1, 2019",4155.30,4155.30,0.00
ATNF,NCT04251715,"February 5, 2020","November 30, 2024",4073.60,4073.60,0.00
ATNF,NCT05330429,"April 15, 2022",November 2026,615.60,763.80,5.37
ATNF,NCT05510999,"August 22, 2022","October 26, 2021",323.38,323.38,0.00
ATNF,NCT03870750,"March 12, 2019","June 30, 2025",3921.60,3933.00,0.07
ATNF,NCT03605810,"July 30, 2018","December 31, 2018",3807.60,3803.80,-0.02
ATNF,NCT05209438,"January 26, 2022",July 2025,1010.80,1014.60,0.09
ATNF,NCT05565482,"October 4, 2022","January 10, 2025",254.98,228.00,-2.79
ATNF,NCT05840276,"May 3, 2023","December 1, 2024",21.28,20.71,-0.68
ATNF,NCT05362448,"May 5, 2022","November 1, 2022",410.40,399.00,-0.70
ATNF,NCT03250702,"August 16, 2017",June 2015,3682.20,3682.20,0.00
ATNF,NCT03666091,"September 11, 2018","June 1, 2025",3822.80,3822.80,0.00
ATNF,NCT04002427,"June 28, 2019","July 5, 2019",3969.10,3969.10,0.00
ATNF,NCT05769777,"March 15, 2023","October 29, 2027",39.33,40.28,0.60
ATNF,NCT04693507,"January 5, 2021","February 6, 2023",961.40,976.60,0.39
ATNF,NCT04247984,"January 30, 2020","January 31, 2022",4073.60,4073.60,0.00
TSVT,NCT05169489,"December 27, 2021",August 2025,26.72,22.89,-3.86
TSVT,NCT05105152,"November 3, 2021","January 31, 2041",13.77,33.62,20.94
FDMT,NCT05248230,"February 21, 2022",January 2027,13.88,14.79,1.59
FDMT,NCT05197270,"January 19, 2022",November 2025,16.28,14.28,-3.27
FDMT,NCT05930561,"July 5, 2023","July 1, 2028",18.43,18.25,-0.25
FDMT,NCT05629559,"November 29, 2022","May 31, 2028",24.17,22.67,-1.60
SXTP,NCT06207370,"January 17, 2024","July 1, 2025",0.93,0.63,-9.85
SXTP,NCT06118905,"November 7, 2023","April 1, 2028",0.60,0.57,-1.28
SXTP,NCT06143670,"November 22, 2023","March 13, 2024",0.67,0.70,1.02
SXTP,NCT06232434,"January 30, 2024",December 2024,0.28,0.29,0.70
SXTP,NCT05926570,"July 3, 2023","January 22, 2024",1.38,1.49,1.88
SXTP,NCT06066541,"October 4, 2023","December 31, 2023",0.72,0.71,-0.42
SXTP,NCT05939024,"July 11, 2023","July 31, 2023",4.68,3.82,-5.06
SXTP,NCT05894434,"June 8, 2023",March 2029,2.35,2.23,-1.31
SXTP,NCT05981963,"August 8, 2023","October 22, 2023",1.55,1.62,1.10
SXTP,NCT06140394,"November 20, 2023","June 29, 2024",0.63,0.57,-2.87
SXTP,NCT06180824,"December 26, 2023","December 31, 2024",1.18,1.02,-3.64
SXTP,NCT06171243,"December 14, 2023","December 30, 2025",0.79,1.17,9.66
SXTP,NCT06143267,"November 22, 2023","August 1, 2024",0.67,0.70,1.02
SXTP,NCT06267326,"February 20, 2024","August 21, 2023",0.31,0.29,-1.75
SXTP,NCT06007430,"August 23, 2023","November 1, 2023",1.40,1.46,1.05
SXTP,NCT06200337,"January 11, 2024","April 6, 2023",0.93,0.63,-9.85
SXTP,NCT06164379,"December 11, 2023","December 16, 2024",0.79,1.17,9.66
SXTP,NCT05903976,"June 15, 2023","October 30, 2025",2.24,2.13,-1.26
SXTP,NCT06204796,"January 12, 2024","September 1, 2023",1.00,0.73,-7.58
SXTP,NCT06192329,"January 5, 2024","May 1, 2025",1.00,0.73,-7.58
